Year,Round Number,Circuit Name,Race Name,Mean Track Temperature,Rainfall Status,Driver Abbr,Team,Driver Number,Sprint Position,Sprint Points,Quali Position,Race Position,Race Points
2018,9,Spielberg,Austrian Grand Prix,36.79,Rain,SAI,Renault,55,,0,9.0,12,0.0
2018,9,Spielberg,Austrian Grand Prix,36.79,Rain,RAI,Ferrari,7,,0,4.0,2,18.0
2018,9,Spielberg,Austrian Grand Prix,36.79,Rain,BOT,Mercedes,77,,0,1.0,R,0.0
2018,9,Spielberg,Austrian Grand Prix,36.79,Rain,GRO,Haas F1 Team,8,,0,6.0,4,12.0
2018,9,Spielberg,Austrian Grand Prix,36.79,Rain,ERI,Sauber,9,,0,20.0,10,1.0
2018,10,Silverstone,British Grand Prix,49.11,Dry,GAS,Toro Rosso,10,,0,14.0,13,0.0
2018,10,Silverstone,British Grand Prix,49.11,Dry,PER,Force India,11,,0,12.0,10,1.0
2018,10,Silverstone,British Grand Prix,49.11,Dry,ALO,McLaren,14,,0,13.0,8,4.0
2018,10,Silverstone,British Grand Prix,49.11,Dry,LEC,Sauber,16,,0,9.0,R,0.0
2018,10,Silverstone,British Grand Prix,49.11,Dry,STR,Williams,18,,0,19.0,12,0.0
2018,10,Silverstone,British Grand Prix,49.11,Dry,VAN,McLaren,2,,0,17.0,11,0.0
2018,10,Silverstone,British Grand Prix,49.11,Dry,MAG,Haas F1 Team,20,,0,7.0,9,2.0
2018,10,Silverstone,British Grand Prix,49.11,Dry,HUL,Renault,27,,0,11.0,6,8.0
2018,10,Silverstone,British Grand Prix,49.11,Dry,HAR,Toro Rosso,28,,0,20.0,R,0.0
2018,10,Silverstone,British Grand Prix,49.11,Dry,RIC,Red Bull Racing,3,,0,6.0,5,10.0
2018,10,Silverstone,British Grand Prix,49.11,Dry,OCO,Force India,31,,0,10.0,7,6.0
2018,10,Silverstone,British Grand Prix,49.11,Dry,VER,Red Bull Racing,33,,0,5.0,R,0.0
2018,10,Silverstone,British Grand Prix,49.11,Dry,SIR,Williams,35,,0,18.0,14,0.0
2018,10,Silverstone,British Grand Prix,49.11,Dry,HAM,Mercedes,44,,0,1.0,2,18.0
2018,10,Silverstone,British Grand Prix,49.11,Dry,VET,Ferrari,5,,0,2.0,1,25.0
2018,10,Silverstone,British Grand Prix,49.11,Dry,SAI,Renault,55,,0,16.0,R,0.0
2018,10,Silverstone,British Grand Prix,49.11,Dry,RAI,Ferrari,7,,0,3.0,3,15.0
2018,10,Silverstone,British Grand Prix,49.11,Dry,BOT,Mercedes,77,,0,4.0,4,12.0
2018,10,Silverstone,British Grand Prix,49.11,Dry,GRO,Haas F1 Team,8,,0,8.0,R,0.0
2018,10,Silverstone,British Grand Prix,49.11,Dry,ERI,Sauber,9,,0,15.0,R,0.0
2018,11,Hockenheim,German Grand Prix,34.04,Rain,GAS,Toro Rosso,10,,0,17.0,14,0.0
2018,11,Hockenheim,German Grand Prix,34.04,Rain,PER,Force India,11,,0,10.0,7,6.0
2018,11,Hockenheim,German Grand Prix,34.04,Rain,ALO,McLaren,14,,0,11.0,16,0.0
2018,11,Hockenheim,German Grand Prix,34.04,Rain,LEC,Sauber,16,,0,9.0,15,0.0
2018,11,Hockenheim,German Grand Prix,34.04,Rain,STR,Williams,18,,0,19.0,R,0.0
2018,11,Hockenheim,German Grand Prix,34.04,Rain,VAN,McLaren,2,,0,20.0,13,0.0
2018,11,Hockenheim,German Grand Prix,34.04,Rain,MAG,Haas F1 Team,20,,0,5.0,11,0.0
2018,11,Hockenheim,German Grand Prix,34.04,Rain,HUL,Renault,27,,0,7.0,5,10.0
2018,11,Hockenheim,German Grand Prix,34.04,Rain,HAR,Toro Rosso,28,,0,18.0,10,1.0
2018,11,Hockenheim,German Grand Prix,34.04,Rain,RIC,Red Bull Racing,3,,0,15.0,R,0.0
2018,11,Hockenheim,German Grand Prix,34.04,Rain,OCO,Force India,31,,0,16.0,8,4.0
2018,11,Hockenheim,German Grand Prix,34.04,Rain,VER,Red Bull Racing,33,,0,4.0,4,12.0
2018,11,Hockenheim,German Grand Prix,34.04,Rain,SIR,Williams,35,,0,12.0,R,0.0
2018,11,Hockenheim,German Grand Prix,34.04,Rain,HAM,Mercedes,44,,0,14.0,1,25.0
2018,11,Hockenheim,German Grand Prix,34.04,Rain,VET,Ferrari,5,,0,1.0,R,0.0
2018,11,Hockenheim,German Grand Prix,34.04,Rain,SAI,Renault,55,,0,8.0,12,0.0
2018,11,Hockenheim,German Grand Prix,34.04,Rain,RAI,Ferrari,7,,0,3.0,3,15.0
2018,11,Hockenheim,German Grand Prix,34.04,Rain,BOT,Mercedes,77,,0,2.0,2,18.0
2018,11,Hockenheim,German Grand Prix,34.04,Rain,GRO,Haas F1 Team,8,,0,6.0,6,8.0
2018,11,Hockenheim,German Grand Prix,34.04,Rain,ERI,Sauber,9,,0,13.0,9,2.0
2018,12,Hangaroring,Hungarian Grand Prix,45.59,Rain,GAS,Toro Rosso,10,,0,6.0,6,8.0
2018,12,Hangaroring,Hungarian Grand Prix,45.59,Rain,PER,Force India,11,,0,19.0,14,0.0
2018,12,Hangaroring,Hungarian Grand Prix,45.59,Rain,ALO,McLaren,14,,0,11.0,8,4.0
2018,12,Hangaroring,Hungarian Grand Prix,45.59,Rain,LEC,Sauber,16,,0,17.0,R,0.0
2018,12,Hangaroring,Hungarian Grand Prix,45.59,Rain,STR,Williams,18,,0,15.0,17,0.0
2018,12,Hangaroring,Hungarian Grand Prix,45.59,Rain,VAN,McLaren,2,,0,16.0,R,0.0
